,Unnamed: 0,carat,cut,cut_ord,color,clarity,clarity_ord,price
85,86,2.01,Premium,4,I,VS2,5,17826
86,87,0.36,Ideal,5,E,VS2,5,718
87,88,1.0,Fair,1,H,VS1,4,5460
88,89,1.51,Good,2,G,VS2,5,11640
89,90,0.8,Very Good,3,E,SI1,3,3293
90,91,0.53,Premium,4,F,VS2,5,1753
91,92,2.09,Very Good,3,I,VS1,4,18215
92,93,1.01,Fair,1,G,SI1,3,4004
93,94,0.58,Premium,4,I,VVS1,7,1636
94,95,0.7,Very Good,3,D,VS1,4,3247
95,96,1.0,Very Good,3,F,VS1,4,6098
96,97,0.36,Ideal,5,D,SI1,3,626
97,98,1.1,Ideal,5,E,I1,1,3872
98,99,1.0,Ideal,5,E,SI2,2,4760
99,100,0.56,Fair,1,E,SI2,2,1389
100,101,0.96,Very Good,3,D,SI2,2,3480
101,102,0.37,Premium,4,E,VS2,5,692
102,103,0.92,Ideal,5,D,SI1,3,5779
103,104,0.33,Ideal,5,H,IF,8,959
104,105,0.51,Good,2,G,SI2,2,1129
105,106,0.77,Ideal,5,D,VS1,4,4039
106,107,0.41,Premium,4,F,VVS2,6,1192
107,108,0.44,Premium,4,E,SI2,2,1028
108,109,1.24,Premium,4,F,SI1,3,7162
109,110,0.57,Very Good,3,E,SI2,2,1384
110,111,0.39,Premium,4,G,VVS2,6,1024
111,112,0.6,Ideal,5,F,VS1,4,2142
112,113,0.8,Premium,4,F,SI2,2,2447
113,114,1.01,Ideal,5,F,SI1,3,5486
114,115,0.71,Ideal,5,I,SI1,3,2319
115,116,0.29,Very Good,3,G,VVS1,7,607
116,117,0.38,Very Good,3,D,SI1,3,701
117,118,0.91,Very Good,3,J,SI1,3,2905
118,119,0.51,Ideal,5,G,VS2,5,1450
119,120,0.77,Premium,4,H,VS2,5,2546
120,121,1.58,Premium,4,J,SI1,3,7654
121,122,0.51,Ideal,5,F,VS2,5,1431
122,123,0.33,Ideal,5,F,VVS1,7,1141
123,124,0.7,Ideal,5,E,SI1,3,3330
124,125,1.51,Ideal,5,E,SI1,3,11628
125,126,0.3,Premium,4,J,SI2,2,405
126,127,1.09,Premium,4,E,SI2,2,5127
127,128,1.23,Ideal,5,I,VVS2,6,7256
128,129,0.5,Ideal,5,I,SI1,3,1076
129,130,0.71,Premium,4,E,SI1,3,2554
130,131,0.72,Ideal,5,E,VS2,5,2691
131,132,0.33,Premium,4,G,VS1,4,854
132,133,1.52,Very Good,3,I,VS1,4,9576
133,134,1.23,Ideal,5,G,VS1,4,9116
134,135,0.54,Ideal,5,G,VVS2,6,1829
135,136,0.32,Ideal,5,F,VS2,5,828
136,137,1.31,Premium,4,E,SI1,3,8767
137,138,1.11,Ideal,5,D,SI2,2,5648
138,139,1.03,Very Good,3,H,SI2,2,4283
139,140,0.56,Ideal,5,J,VS2,5,1131
140,141,1.29,Very Good,3,H,SI2,2,5601
141,142,0.53,Ideal,5,G,VS2,5,1577
142,143,1.7,Premium,4,I,VS2,5,11257
143,144,0.3,Ideal,5,F,VS1,4,615
144,145,0.32,Premium,4,H,VVS2,6,828
145,146,1.51,Good,2,H,VS2,5,10763
146,147,0.43,Ideal,5,E,SI1,3,1016
147,148,0.3,Very Good,3,G,VS1,4,620
148,149,3.0,Good,2,E,I1,1,11548
149,150,0.75,Ideal,5,J,SI2,2,1944
150,151,0.9,Very Good,3,H,VVS2,6,4617
151,152,0.58,Very Good,3,D,SI1,3,1785
152,153,1.01,Very Good,3,H,SI1,3,4619
153,154,0.3,Good,2,F,VS2,5,484
154,155,0.79,Ideal,5,E,SI1,3,3053
155,156,0.71,Ideal,5,G,SI1,3,2233
156,157,1.01,Premium,4,G,SI1,3,4525
157,158,1.01,Very Good,3,D,VVS2,6,10453
158,159,1.01,Very Good,3,H,VS1,4,5687
159,160,1.2,Premium,4,G,VS2,5,7795
160,161,0.27,Very Good,3,D,VS1,4,470
161,162,0.56,Ideal,5,I,VVS1,7,1616
162,163,0.41,Ideal,5,E,VVS1,7,1431
163,164,0.72,Ideal,5,F,VVS2,6,3740
164,165,0.55,Ideal,5,D,SI2,2,1363
165,166,0.41,Premium,4,D,SI1,3,1015
166,167,0.3,Very Good,3,E,IF,8,1026
167,168,1.01,Ideal,5,G,VVS2,6,8252
168,169,0.4,Very Good,3,E,SI2,2,611
169,170,0.4,Premium,4,F,SI1,3,920
170,171,0.31,Very Good,3,H,SI1,3,446
171,172,0.39,Premium,4,G,VS2,5,787
172,173,0.71,Very Good,3,H,SI1,3,2210
173,174,1.11,Ideal,5,E,SI2,2,5262
174,175,1.02,Ideal,5,F,VS2,5,6479
175,176,0.33,Very Good,3,E,VS1,4,886
176,177,2.2,Premium,4,G,SI1,3,18193
177,178,2.02,Fair,1,H,SI2,2,14080
178,179,0.56,Very Good,3,F,SI1,3,1436
179,180,1.08,Ideal,5,D,VS1,4,9545
180,181,1.51,Premium,4,G,SI1,3,10739
181,182,1.15,Very Good,3,G,SI1,3,5538
182,183,1.25,Premium,4,I,VS2,5,5975
183,184,0.4,Ideal,5,G,VVS1,7,995
184,185,0.76,Premium,4,E,SI2,2,2688
185,186,1.01,Premium,4,E,VS1,4,7964
186,187,1.2,Premium,4,I,SI2,2,4989
187,188,1.34,Premium,4,J,VS2,5,5778
188,189,0.34,Premium,4,G,VS2,5,596
189,190,0.53,Ideal,5,F,SI1,3,1363
190,191,0.35,Very Good,3,G,IF,8,1001
191,192,0.23,Good,2,E,VVS1,7,462
192,193,1.0,Good,2,F,VS2,5,5606
193,194,2.04,Premium,4,H,SI2,2,15760
194,195,1.01,Very Good,3,I,SI1,3,4794
195,196,0.31,Very Good,3,H,IF,8,778
196,197,0.41,Good,2,I,VS1,4,969
197,198,1.11,Premium,4,F,VS2,5,7179
198,199,1.05,Premium,4,E,SI2,2,4939
199,200,0.51,Good,2,E,VS2,5,1424
200,201,0.38,Ideal,5,E,VVS2,6,1073
201,202,0.35,Ideal,5,I,SI2,2,580
202,203,0.72,Very Good,3,F,VVS2,6,3338
203,204,0.3,Ideal,5,E,SI1,3,499
204,205,0.31,Very Good,3,F,VS2,5,625
205,206,1.05,Ideal,5,G,VS2,5,7070
206,207,0.38,Premium,4,I,VS2,5,812
207,208,1.0,Premium,4,F,VS1,4,7056
208,209,0.32,Very Good,3,I,VS2,5,449
209,210,0.55,Very Good,3,D,SI2,2,1401
210,211,0.56,Premium,4,D,VS2,5,1963
211,212,0.31,Premium,4,F,SI1,3,663
212,213,0.33,Ideal,5,G,IF,8,946
213,214,1.72,Premium,4,H,SI2,2,10869
214,215,1.01,Premium,4,E,VS1,4,6670
215,216,2.02,Ideal,5,J,SI1,3,12713
216,217,1.05,Ideal,5,E,VS1,4,9160
217,218,0.24,Ideal,5,F,VVS2,6,540
218,219,0.39,Good,2,D,VVS2,6,1255
219,220,0.32,Ideal,5,D,SI1,3,756
220,221,0.32,Very Good,3,H,SI2,2,517
221,222,0.73,Ideal,5,H,SI1,3,2320
222,223,0.54,Premium,4,H,SI1,3,1240
223,224,0.52,Very Good,3,F,VS2,5,1607
224,225,0.5,Very Good,3,G,VVS2,6,1806
225,226,0.31,Ideal,5,E,VVS1,7,936
226,227,1.22,Very Good,3,I,SI2,2,5072
227,228,1.27,Good,2,J,VS1,4,5588
228,229,0.7,Good,2,E,VS1,4,3175
229,230,1.24,Premium,4,H,VS1,4,7222
230,231,1.01,Premium,4,E,SI1,3,5599
231,232,0.7,Very Good,3,D,SI1,3,3075
232,233,1.1,Very Good,3,G,SI1,3,4997
233,234,0.3,Very Good,3,E,VS2,5,658
234,235,1.51,Good,2,G,IF,8,14654
235,236,1.7,Ideal,5,F,VS2,5,17360
236,237,0.42,Ideal,5,G,IF,8,1289
237,238,0.36,Ideal,5,D,SI1,3,626
238,239,0.74,Very Good,3,F,SI2,2,2298
239,240,0.61,Ideal,5,G,VS2,5,2286
240,241,0.55,Ideal,5,F,VS1,4,1896
241,242,1.0,Very Good,3,I,VS2,5,4739
242,243,1.02,Ideal,5,H,SI2,2,4243
243,244,1.0,Premium,4,H,VS1,4,4732
244,245,0.33,Premium,4,F,VS2,5,854
245,246,0.31,Premium,4,F,VS2,5,802
246,247,1.16,Ideal,5,F,VS2,5,9432
247,248,1.17,Ideal,5,G,SI2,2,5743
248,249,0.62,Ideal,5,F,SI2,2,1364
249,250,0.31,Good,2,H,VS1,4,476
250,251,0.41,Very Good,3,H,VVS1,7,991
251,252,1.04,Very Good,3,F,VS1,4,7207
252,253,0.7,Ideal,5,F,SI1,3,2671
253,254,0.33,Very Good,3,H,VVS2,6,614
254,255,1.5,Good,2,J,VS1,4,8347
255,256,0.6,Ideal,5,F,VVS2,6,2298
256,257,1.2,Ideal,5,H,VS2,5,7190
257,258,0.31,Very Good,3,E,SI1,3,544
258,259,0.7,Good,2,D,SI1,3,2681
259,260,1.2,Premium,4,F,VS1,4,9370
260,261,0.37,Ideal,5,G,SI1,3,745
261,262,0.42,Premium,4,F,SI1,3,773
262,263,0.83,Ideal,5,J,VS2,5,2241
263,264,0.3,Ideal,5,D,SI1,3,552
264,265,0.32,Ideal,5,G,VVS1,7,732
265,266,0.34,Very Good,3,E,SI2,2,477
266,267,0.7,Very Good,3,G,VVS2,6,2905
267,268,0.88,Very Good,3,F,VVS2,6,5052
268,269,0.55,Ideal,5,H,VS1,4,1634
269,270,0.27,Ideal,5,H,VS1,4,464
270,271,1.14,Premium,4,G,SI2,2,4884
271,272,1.05,Ideal,5,I,SI1,3,4494
272,273,0.3,Very Good,3,J,VS2,5,473
273,274,1.5,Very Good,3,H,SI2,2,7365
274,275,1.91,Premium,4,G,SI2,2,9038
275,276,0.44,Premium,4,D,VS1,4,1232
276,277,1.07,Very Good,3,E,SI2,2,4609
277,278,0.5,Good,2,G,VVS2,6,1690
278,279,0.41,Premium,4,G,VS2,5,1061
279,280,0.7,Premium,4,I,VVS1,7,2536
280,281,0.38,Ideal,5,H,VVS2,6,1031
281,282,1.25,Ideal,5,E,VVS1,7,13536
282,283,0.5,Ideal,5,F,SI1,3,1374
283,284,0.24,Ideal,5,G,SI1,3,364
284,285,1.06,Very Good,3,E,SI2,2,4570
285,286,0.83,Premium,4,G,SI1,3,2863
286,287,0.3,Ideal,5,E,VVS2,6,766
287,288,0.6,Very Good,3,G,VVS1,7,2528
288,289,0.5,Fair,1,E,SI1,3,1176
289,290,0.9,Very Good,3,H,SI2,2,3295
290,291,0.3,Premium,4,H,VS1,4,675
291,292,0.31,Premium,4,I,SI1,3,593
292,293,1.56,Ideal,5,G,VS2,5,13787
293,294,0.71,Ideal,5,F,VS2,5,3123
294,295,1.51,Good,2,G,I1,1,3497
295,296,1.01,Ideal,5,E,VS1,4,7528
296,297,0.38,Ideal,5,H,VS2,5,680
297,298,2.0,Premium,4,H,SI2,2,12940
298,299,1.03,Premium,4,E,VS2,5,6460
299,300,0.52,Very Good,3,F,VS1,4,1748
300,301,0.39,Ideal,5,D,VS1,4,979
301,302,2.0,Premium,4,E,SI2,2,12987
302,303,0.3,Premium,4,H,VVS2,6,605
303,304,1.01,Premium,4,E,SI1,3,5599
304,305,0.31,Premium,4,G,VVS1,7,816
305,306,1.12,Ideal,5,D,VS2,5,8430
306,307,0.3,Ideal,5,F,VS2,5,605
307,308,0.4,Premium,4,F,VVS2,6,1088
308,309,0.9,Premium,4,G,SI1,3,3669
309,310,0.71,Premium,4,H,VS2,5,2363
310,311,0.54,Premium,4,G,SI1,3,1241
311,312,0.9,Ideal,5,D,SI1,3,4612
312,313,0.79,Very Good,3,H,SI2,2,2348
313,314,1.6,Ideal,5,F,SI1,3,13140
314,315,1.03,Very Good,3,G,SI2,2,4374
315,316,0.55,Premium,4,E,SI2,2,1134
316,317,0.8,Ideal,5,H,VVS1,7,3732
317,318,0.41,Ideal,5,I,VVS1,7,875
318,319,0.26,Premium,4,H,VS1,4,382
319,320,0.31,Very Good,3,G,VS2,5,544
320,321,1.09,Very Good,3,F,SI2,2,4629
321,322,0.3,Premium,4,D,VS2,5,911
322,323,1.11,Ideal,5,I,SI1,3,4273
323,324,0.62,Ideal,5,H,IF,8,2469
324,325,0.59,Premium,4,I,VVS1,7,1837
325,326,0.56,Ideal,5,F,VS2,5,1723
326,327,0.57,Very Good,3,D,IF,8,4032
327,328,1.0,Premium,4,F,SI1,3,5292
328,329,1.04,Ideal,5,G,VVS2,6,6173
329,330,0.7,Fair,1,E,SI1,3,2000
330,331,0.7,Ideal,5,E,SI1,3,2407
331,332,1.13,Premium,4,E,SI1,3,5012
332,333,1.51,Premium,4,D,VS1,4,17936
333,334,0.71,Very Good,3,E,SI1,3,2455
334,335,0.43,Premium,4,D,SI1,3,1064
335,336,0.55,Ideal,5,F,SI1,3,1368
336,337,1.54,Premium,4,G,SI2,2,8969
337,338,1.0,Very Good,3,E,SI2,2,4620
338,339,2.5,Fair,1,J,SI2,2,14652
339,340,1.0,Good,2,I,VS2,5,4761
340,341,1.01,Ideal,5,G,SI2,2,4783
341,342,1.02,Premium,4,D,SI2,2,4718
342,343,0.32,Premium,4,I,VS1,4,505
343,344,1.71,Good,2,J,SI2,2,7508
344,345,0.31,Ideal,5,H,VVS1,7,707
345,346,0.33,Ideal,5,G,IF,8,946
346,347,0.52,Very Good,3,E,SI1,3,1438
347,348,1.5,Ideal,5,H,SI1,3,11189
348,349,0.3,Premium,4,I,VS1,4,567
349,350,0.3,Premium,4,G,VVS2,6,878
350,351,0.5,Good,2,D,VS1,4,1795
351,352,0.52,Ideal,5,G,VVS1,7,2065
352,353,0.47,Good,2,E,VVS1,7,1613
353,354,1.3,Ideal,5,F,SI2,2,6559
354,355,0.31,Ideal,5,G,IF,8,871
355,356,0.34,Very Good,3,D,SI1,3,626
356,357,1.01,Ideal,5,F,SI2,2,3777
357,358,0.64,Ideal,5,D,VVS1,7,4281
358,359,0.31,Good,2,H,VS2,5,489
359,360,0.7,Premium,4,F,SI1,3,2196
360,361,0.7,Premium,4,F,VVS2,6,3062
361,362,1.17,Ideal,5,G,VVS2,6,9225
362,363,0.26,Very Good,3,E,VVS2,6,564
363,364,1.0,Good,2,E,VVS1,7,7084
364,365,0.4,Ideal,5,I,VS2,5,667
365,366,1.0,Fair,1,F,SI1,3,4657
366,367,0.47,Premium,4,G,VS2,5,1102
367,368,0.34,Ideal,5,F,VS1,4,745
368,369,0.33,Good,2,I,VVS2,6,579
369,370,0.52,Very Good,3,E,VS2,5,1670
370,371,1.02,Ideal,5,H,VVS2,6,6797
371,372,1.71,Premium,4,I,VS1,4,10055
372,373,1.01,Ideal,5,D,SI1,3,6257
373,374,1.4,Premium,4,H,SI1,3,8624
374,375,1.05,Ideal,5,G,SI1,3,5192
375,376,0.32,Ideal,5,E,IF,8,1018
376,377,1.21,Ideal,5,H,SI2,2,5624
377,378,1.14,Ideal,5,H,SI1,3,5501
378,379,0.4,Very Good,3,J,VS1,4,606
379,380,1.01,Very Good,3,I,SI1,3,4185
380,381,0.4,Premium,4,D,VS1,4,1200
381,382,1.52,Fair,1,J,SI2,2,5916
382,383,0.76,Premium,4,E,SI1,3,2814
383,384,0.5,Ideal,5,G,SI2,2,1011
384,385,0.28,Ideal,5,D,VVS1,7,780
385,386,1.11,Ideal,5,H,SI1,3,5315
386,387,0.38,Premium,4,H,VS2,5,700
387,388,1.0,Very Good,3,D,SI1,3,6040
388,389,0.56,Ideal,5,I,VVS1,7,1605
389,390,0.34,Premium,4,E,VVS2,6,995
390,391,0.82,Ideal,5,G,SI1,3,3123
391,392,1.04,Premium,4,F,SI2,2,4507
392,393,0.47,Ideal,5,H,IF,8,1865
393,394,1.02,Premium,4,H,VS2,5,5100
394,395,1.02,Very Good,3,D,SI1,3,6047
395,396,0.41,Premium,4,G,SI1,3,719
396,397,0.44,Very Good,3,E,VS1,4,1158
397,398,0.5,Premium,4,E,VS2,5,1654
398,399,1.0,Premium,4,J,SI1,3,3780
399,400,2.05,Premium,4,I,VS1,4,12766
400,401,0.75,Very Good,3,E,SI1,3,2698
401,402,0.95,Good,2,D,SI2,2,3214
402,403,0.51,Ideal,5,E,SI1,3,1438
403,404,0.3,Ideal,5,I,SI2,2,405
404,405,1.19,Very Good,3,H,VS1,4,7147
405,406,1.0,Fair,1,D,SI2,2,2974
406,407,1.6,Ideal,5,E,SI2,2,10798
407,408,0.38,Premium,4,F,SI1,3,838
408,409,0.33,Premium,4,D,VVS2,6,1002
409,410,0.8,Ideal,5,E,SI1,3,3630
410,411,1.5,Premium,4,H,IF,8,13107
411,412,0.3,Ideal,5,E,VVS1,7,956
412,413,0.3,Ideal,5,H,VVS2,6,605
413,414,0.27,Very Good,3,E,VVS2,6,620
414,415,0.46,Very Good,3,E,VS1,4,1417
415,416,1.51,Premium,4,H,SI2,2,8388
416,417,1.03,Premium,4,E,VS2,5,7192
417,418,0.33,Premium,4,H,VS2,5,668
418,419,1.01,Premium,4,H,SI1,3,4559
419,420,0.4,Ideal,5,D,VS2,5,1050
420,421,0.8,Ideal,5,E,VS2,5,3648
421,422,0.71,Very Good,3,G,VS2,5,2382
422,423,0.34,Premium,4,F,VS2,5,880
423,424,0.5,Good,2,D,SI1,3,1235
424,425,1.22,Ideal,5,F,VVS2,6,11870
425,426,0.59,Very Good,3,F,VS2,5,1764
426,427,0.78,Ideal,5,G,VS2,5,3613
427,428,1.21,Very Good,3,G,VVS2,6,9942
428,429,0.33,Very Good,3,G,VVS1,7,795
429,430,0.35,Ideal,5,J,VS1,4,478
430,431,1.19,Good,2,J,VS1,4,4931
431,432,1.25,Premium,4,H,VS1,4,8099
432,433,1.07,Premium,4,D,SI1,3,5704
433,434,0.75,Very Good,3,D,SI1,3,3048
434,435,1.51,Ideal,5,G,SI2,2,8794
435,436,2.3,Ideal,5,G,SI2,2,14744
436,437,0.72,Premium,4,F,SI1,3,2670
437,438,0.35,Premium,4,D,VS2,5,829
438,439,0.34,Good,2,H,VS2,5,689
439,440,1.01,Fair,1,G,VS2,5,4072
440,441,0.9,Very Good,3,D,SI2,2,3706
441,442,1.0,Good,2,D,SI2,2,4218
442,443,0.81,Ideal,5,E,VS2,5,4314
443,444,1.13,Ideal,5,H,SI1,3,5050
444,445,0.3,Ideal,5,D,VS2,5,616
445,446,0.31,Ideal,5,G,VVS1,7,1046
446,447,0.3,Very Good,3,H,VS1,4,675
447,448,1.23,Premium,4,I,SI2,2,4773
448,449,2.16,Premium,4,J,VVS1,7,17891
449,450,1.11,Ideal,5,I,SI1,3,4709
450,451,0.54,Premium,4,D,VS1,4,1847
451,452,1.02,Premium,4,D,VS2,5,6909
452,453,1.51,Premium,4,I,SI2,2,7577
453,454,0.73,Ideal,5,D,SI1,3,3195
454,455,1.03,Premium,4,I,VS1,4,5012
455,456,1.07,Very Good,3,F,VS1,4,7513
456,457,0.34,Ideal,5,D,SI1,3,626
457,458,0.5,Fair,1,G,VS1,4,1234
458,459,1.03,Good,2,J,I1,1,2220
459,460,0.4,Good,2,F,IF,8,1404
460,461,0.7,Premium,4,E,VS2,5,2818
461,462,1.52,Premium,4,J,VS1,4,8110
462,463,2.02,Premium,4,F,SI2,2,13267
463,464,0.4,Good,2,D,SI2,2,622
464,465,0.79,Ideal,5,E,VS2,5,3861
465,466,0.47,Premium,4,H,VS1,4,1244
466,467,0.33,Premium,4,E,SI2,2,463
467,468,1.21,Very Good,3,I,SI1,3,4404
468,469,0.51,Very Good,3,F,VS2,5,1601
469,470,1.01,Ideal,5,G,SI2,2,4803
470,471,0.77,Ideal,5,E,SI2,2,2519
471,472,1.01,Fair,1,E,VS2,5,4525
472,473,0.62,Very Good,3,H,VS2,5,1734
473,474,0.31,Ideal,5,I,VS2,5,421
474,475,2.04,Very Good,3,H,SI2,2,13790
475,476,0.41,Premium,4,E,SI1,3,705
476,477,1.26,Premium,4,F,VS1,4,10669
477,478,0.36,Ideal,5,D,VVS2,6,1033
478,479,0.71,Premium,4,G,VS2,5,2694
479,480,0.42,Ideal,5,G,SI1,3,882
480,481,0.31,Premium,4,H,VVS1,7,707
481,482,1.0,Premium,4,G,VS2,5,6048
482,483,0.31,Ideal,5,E,VS1,4,682
483,484,1.01,Premium,4,E,VS2,5,6843
484,485,0.71,Good,2,F,SI1,3,2396
485,486,1.02,Very Good,3,E,VS1,4,7779
486,487,0.73,Ideal,5,E,SI2,2,2581
487,488,0.4,Very Good,3,D,VS2,5,982
488,489,0.5,Fair,1,D,SI1,3,1323
489,490,1.28,Premium,4,I,VS2,5,6451
490,491,0.91,Good,2,F,SI2,2,3539
491,492,1.21,Very Good,3,I,VS1,4,5866
492,493,0.24,Very Good,3,I,VVS1,7,336
493,494,0.38,Very Good,3,D,VS1,4,995
494,495,0.9,Very Good,3,G,VS1,4,4358
495,496,0.8,Very Good,3,E,VS2,5,4263
496,497,0.28,Very Good,3,F,VS1,4,487
497,498,1.02,Ideal,5,G,VS2,5,6333
498,499,0.51,Premium,4,F,VS1,4,1836
499,500,0.72,Fair,1,E,VS2,5,2691
500,501,0.9,Premium,4,G,VS2,5,4022
501,502,1.22,Ideal,5,G,VS1,4,8313
502,503,0.4,Ideal,5,H,VS2,5,926
503,504,0.8,Premium,4,F,SI2,2,2371
504,505,0.71,Ideal,5,E,VS2,5,3247
505,506,0.7,Good,2,I,VVS2,6,2394
506,507,1.11,Very Good,3,H,VS2,5,5450
507,508,0.7,Very Good,3,D,SI2,2,2337
508,509,0.42,Very Good,3,D,SI1,3,756
509,510,0.36,Ideal,5,G,VS1,4,949
510,511,0.38,Very Good,3,F,VS1,4,988
511,512,1.02,Premium,4,F,VS1,4,7389
512,513,0.5,Ideal,5,D,VS1,4,2025
513,514,1.07,Ideal,5,F,VS2,5,8640
514,515,1.52,Premium,4,I,SI1,3,8631
515,516,0.7,Very Good,3,E,SI1,3,2575
516,517,1.0,Fair,1,D,SI1,3,5096
517,518,1.71,Very Good,3,F,VS2,5,17052
518,519,0.51,Premium,4,G,VS2,5,1343
519,520,0.3,Premium,4,F,VVS2,6,882
520,521,0.6,Premium,4,E,SI1,3,1625
521,522,1.0,Premium,4,D,VS2,5,6303
522,523,0.9,Premium,4,I,VS2,5,3398
523,524,0.7,Ideal,5,F,SI2,2,2171
524,525,0.52,Good,2,F,SI1,3,1244
525,526,1.23,Good,2,D,I1,1,3977
526,527,1.01,Good,2,G,SI2,2,4185
527,528,0.52,Ideal,5,I,VVS1,7,1454
528,529,0.38,Premium,4,H,VVS2,6,1069
529,530,2.01,Premium,4,H,SI1,3,16733
530,531,0.81,Fair,1,F,SI2,2,2031
531,532,0.55,Ideal,5,D,VS2,5,1768
532,533,0.36,Premium,4,J,SI1,3,410
533,534,1.51,Very Good,3,I,SI1,3,8637
534,535,0.43,Very Good,3,E,VS1,4,890
535,536,2.5,Fair,1,G,I1,1,7854
536,537,1.5,Very Good,3,G,VVS2,6,12798
537,538,1.51,Ideal,5,G,VS2,5,10553
538,539,0.34,Good,2,E,SI1,3,641
539,540,0.79,Premium,4,H,SI1,3,2275
540,541,1.07,Ideal,5,G,VS2,5,6040
541,542,1.05,Premium,4,F,SI2,2,4363
542,543,0.59,Very Good,3,H,SI2,2,1254
543,544,0.72,Premium,4,E,VS2,5,3078
544,545,0.93,Ideal,5,F,SI2,2,3941
545,546,0.71,Ideal,5,D,VS2,5,4029
546,547,0.3,Very Good,3,G,VVS2,6,684
547,548,0.58,Ideal,5,G,VS2,5,1641
